task_id,model,policy,reward,map_name,map_family,map_size,seed,success,steps,total_return,oracle_steps,path_efficiency,collisions,invalid_actions,pickup_step,cycle_events,interaction_cycle_events,state_revisit_rate,mean_inference_ms
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_13_20x20.txt,aisle,20x20,401,0,240,3.689999999999977,36,0.0,0,0,25,41,0,0.8791666666666667,0.3508971541464234
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_13_20x20.txt,aisle,20x20,503,1,48,11.209999999999996,36,0.75,0,0,20,8,0,0.14583333333333334,0.2403300416062848
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_13_20x20.txt,aisle,20x20,601,0,240,1.6500000000000008,36,0.0,0,0,,40,0,0.9458333333333333,0.3417333083120866
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_13_20x20.txt,aisle,20x20,701,1,44,11.189999999999996,36,0.8181818181818182,0,0,11,7,0,0.09090909090909091,0.8403431590357452
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_13_20x20.txt,aisle,20x20,809,1,48,11.209999999999996,36,0.75,0,0,18,7,0,0.16666666666666666,0.22823027090150086
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_13_20x20.txt,aisle,20x20,907,0,240,3.6899999999999764,36,0.0,0,0,20,38,0,0.8833333333333333,0.3049528166911841
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_aisle_13_20x20.txt,aisle,20x20,1009,1,44,11.189999999999998,36,0.8181818181818182,0,0,25,8,0,0.11363636363636363,0.2163897045399856
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,101,0,120,2.369999999999992,16,0.0,0,0,6,18,0,0.9083333333333333,0.21770993335697617
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,211,1,20,10.17,16,0.8,0,0,5,2,0,0.15,0.20938494994879875
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,307,1,22,10.18,16,0.7272727272727273,0,0,15,4,0,0.18181818181818182,0.22488831808170123
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,401,0,120,2.369999999999992,16,0.0,0,0,7,19,0,0.9083333333333333,0.44058452497210965
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,503,1,22,10.18,16,0.7272727272727273,0,0,6,3,0,0.18181818181818182,0.22456713635289238
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,601,0,120,2.369999999999992,16,0.0,0,0,6,18,0,0.9083333333333333,0.21796275825636258
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,701,0,120,2.369999999999992,16,0.0,0,0,4,19,0,0.9,0.22050328331412553
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,809,1,24,10.19,16,0.6666666666666666,0,0,9,4,0,0.125,0.23709358345058718
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,907,1,30,10.219999999999999,16,0.5333333333333333,0,0,10,4,0,0.3,0.21860610004296177
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_03_10x10.txt,blocks,10x10,1009,1,28,10.209999999999999,16,0.5714285714285714,0,0,12,4,0,0.39285714285714285,0.20918296422678395
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_09_15x15.txt,blocks,15x15,101,0,180,1.0800000000000005,26,0.0,0,0,,31,0,0.9611111111111111,0.3411695777938601
TFP-LocalTransport-v1,002_simple_cnn_tabu,001_ppo_categorical,001_dense_transport,test_blocks_09_15x15.txt,blocks,15x15,211,1,32,10.679999999999998,26,0.8125,0,0,11,5,0,0.0625,0.2618514687355855
